Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,172703309,1928065,6026647,4539970,822676,1024745,3300,5628,870404,3094,48197,551769,865553,10911,382411,473599,1628105,33725,47711,5432953,94115,1697219,399119,47141,320471,13873,120061,342847,5567,1468394,26393,963876,5430,44796,689584,1234174,738397,125299,454941,161121,1126223,1259,55328,205856,12826,506404,5753739,683576,101497,1421921,70493,129315,19511,103973,540814,874862,1027729,57182,153273,399123,72057,831179,217817,9039,47961,880284,438182,1704547,928337,55319,509988,142142,442161,12408,1304,131130,315543,1524179,3638,4335,17885,39930,967810,3336533,468283,8436,984654,13338,63123,7940,2840,566298,350394,77537,358038,792805,44,335077,417766,26077,7952368,2334652,825062,1161698,817399,7367,299659,3103588,844604,702688,367275,3566599,307166,4047,112788,568216,643221,238831,557494,120497,262091,78675,2711,350501,32205,76309,184770,1202246,1196,722660,104661,6844,14197,105587,115984,6216,9329236,16759,5031,30535,181128,16045,1947544,636775,1121782,48723,1583,970932,754428,4937,489183,496553,193665,596678,5764,2772,163412,15606,3392645,4009,134702,4460,374501,691465,3031119,2059493,2174444,1562393,14716,1930230,602885,2320,1135857,10812562,321694,4051,31121,39273,486,53175,94163,3503,24849,153365,387983,1132817,9290,507998,185913,19733,251864,118740,2761,1003535,510696,342628,1296623,980194,2666403,859202,213169,33647,257059,367241,705114,501267,526580,530867,148379,263575,2081,46296,302802,480116,2812148,224559,759,2601,552537,5607505,110945,3849649,219819,1988212,4007,234865,1606869,6459,317323,1849385,7427,166064,528854,160100,310482
Africa,Africa,Africa,903,14800306,280899,778002,478,379,28935,0,0,647776,0,629,1308,390,0,4882,4061,24,78,1140,2679,13,864,6533,0,303507,26,0,68,0,367,22621,3310,10,60,1720,1220746,729410,13712,0,81014,7361,0,44937,191758,0,341,31874,694,0,289,50250,60915,0,0,465706,498,2018,0,2109,1075,505,729658,2277,4576,0,0,9,42232,675,42130,444203,80,159569,0,0,20,1166,168551,0,0,7513,14267,0,53915,243074,30,6640,0,0,0,0,45,324233,44526,24,0,0,0,347,14,54602,14016,821,67051,5372,0,2545,24500,81,2907,21133,746,91835,0,11400,46,14,174,23554,119775,211456,17267,0,167,80,27230,170951,9194,46,665493,142,0,0,89577,8486,6162,173,0,273,11,0,0,15282,549630,99,45647,10,92,12017,0,1435,46,189008,277558,9,12,986,1658,9592,0,25,25,50,89,5413,5117,36648,0,1332,2014,46,1077,1326,16434,308503,94,11,0,0,0,0,0,11695,38605,231758,1577,824,458365,974,0,221,66,0,745054,97127,333894,5694,1982,299868,489049,0,31904,2270,3582,31114,594,3815,139,17,230891,0,0,11,4943,3045,210,0,0,466080,2834,2710,168766,147154,32896,39,48,359,0,150,67,0,165911,22667,121563,225464
Eastern Africa,Africa,Eastern Africa,910,4844795,111749,291138,0,0,0,0,0,221886,0,0,0,0,0,134,0,0,0,0,481,0,0,557,0,0,0,0,0,0,0,4239,0,0,0,0,0,690476,5489,0,18,718,0,0,0,0,0,10281,25,0,0,46342,26446,0,0,0,0,33,0,0,0,157,470644,185,3258,0,0,0,83,0,0,6976,0,32731,0,0,0,0,80401,0,0,0,0,0,1394,166,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,25342,226,0,0,6,0,0,1052,0,359,0,0,76608,0,0,0,0,0,0,6378,0,0,0,0,0,26783,143062,49,1,194,0,0,0,0,4125,6162,0,0,0,0,0,0,0,305153,0,688,0,39,226,0,0,0,0,178,0,0,0,0,2502,0,0,0,0,0,398,0,7139,0,0,185,0,938,0,371,206213,0,0,0,0,0,0,0,0,0,166,0,363,0,0,0,0,0,0,638604,55893,213845,77,509,0,390631,0,74,0,13,0,0,469,0,0,0,0,0,0,0,0,0,0,0,394105,0,0,29211,140364,2598,0,0,0,0,0,0,0,0,365,89508,67573
Burundi,Africa,Eastern Africa,108,125628,4269,9438,,,,,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37951,,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949,,,,5692,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,13799,658,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,10595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,100507,1503,4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,
Eritrea,Africa,Eastern Africa,232,12952,525,1132,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663,,,,,,,,,,98,,,,93,,,,,,,,,,,1224,,,,,,,,,,,91,,,,,211,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,217,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,1775,189,1284,,,,180,,,,,,,,,,,,,,,,,,,1190,,,43,375,,,,,,,,,,,151,168
Ethiopia,Africa,Eastern Africa,231,611384,15366,46100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,90,,3258,,,,,,,6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,389419,,131405,,,,18417,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,127,,
Kenya,Africa,Eastern Africa,404,699139,25053,46659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,106,,20846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,,,,,,,,,,,,,,,,,,,159197,101,81156,,,,11374,,,,,,,,,,,,,,,,,,,299871,,,,51289,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,23541,3510,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,,,,8050,,,,,,,,,,,,,,,,,,,,,,,,,,,6567,,,,,,,,,,,,,,,,,,,,,,,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
