Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,1.91E+08,1951969,6901105,3832305,964621,1590082,2733,5769,679425,3058,54532,803384,889547,12912,428554,509792,1447042,33926,49851,5761972,92114,1593486,440441,50588,400728,14693,117860,542685,6367,1504970,30883,1211454,5869,44592,913736,1312941,616787,141382,668456,211052,1167051,1268,131192,202231,14847,537597,7192323,798530,115147,1865234,96141,165859,19578,116365,694953,853127,1134021,67407,153671,633464,88429,1080207,226904,12207,63378,1002915,978226,1898042,1090578,67673,289428,151552,519482,12530,1113,155666,303588,1704260,3871,2751,41071,58835,886964,3571277,559317,9666,894262,14796,63879,9108,2684,718266,370891,85078,386963,957722,113,438263,475138,28803,9618008,2714252,890688,1474569,768249,8511,314630,2772274,889364,717379,434714,3793782,343056,4062,126441,659877,889183,273069,617206,144122,361548,100543,2953,417023,46460,147845,224606,1379806,1762,749255,100120,6475,14610,99141,127711,6471,10515592,18153,18977,42301,150072,15703,2383043,628282,1715050,59385,1898,1124981,809651,5323,555134,429952,257619,781350,5304,2730,174767,18117,3892485,3427,128894,4310,544738,977458,3658551,3006970,1936053,1595883,17778,2015356,719070,2529,2141681,10537457,287179,3527,33520,46510,428,55213,98788,2912,29440,180318,472297,957622,9776,145835,226709,23107,276427,122550,3063,1156111,617059,243075,1131590,1139726,2819156,1175176,251863,40531,270989,505392,865419,548308,631345,461083,94532,328522,2070,48078,316883,575663,2832573,230425,1236,2932,557002,5592561,104870,4121654,238295,2303555,3803,296415,1762197,7454,433708,2061699,7449,129031,631864,177782,409449
Africa,Africa,Africa,903,15191146,291663,845179,534,430,31056,0,0,443282,0,502,1518,413,0,5634,4464,29,65,1267,6452,15,979,7553,0,376101,30,0,81,0,423,26188,3806,11,71,2041,1292475,600075,15137,0,75959,8590,0,114977,187672,0,389,32326,821,0,345,65396,82868,0,0,566860,586,1906,0,2518,1243,507,943240,2643,4217,0,0,11,45461,758,49061,200965,95,143951,0,0,23,1293,183695,0,0,21120,16592,0,59067,271935,35,7942,0,0,0,0,53,313090,49678,28,0,0,0,391,16,65478,16010,982,76810,6543,0,2990,28336,96,3271,24322,836,91864,0,13122,73,16,208,24238,143093,291551,18100,0,199,65,31579,208653,10614,70,674809,169,0,0,75533,10357,6410,204,0,307,13,0,0,15920,540784,118,54956,11,161,13986,0,1696,54,249444,309683,10,13,1212,1862,10961,0,29,29,59,105,6074,5992,40968,0,1494,2380,55,1064,1528,19102,266625,112,13,0,0,0,0,0,12408,44811,243828,1921,979,80873,1118,0,264,50,0,799201,97410,233443,6110,3030,395021,712592,0,38153,1896,3829,35584,663,4100,165,13,285130,0,0,13,5348,3439,234,0,0,457637,3235,3031,192664,154746,37369,54,57,403,0,179,80,0,128903,25996,128376,257572
Eastern Africa,Africa,Eastern Africa,910,4745792,101497,333968,0,0,0,0,0,100154,0,0,0,0,0,196,0,0,0,0,3929,0,0,596,0,0,0,0,0,0,0,4585,0,0,0,0,0,560193,5996,0,66,762,0,0,0,0,0,7991,21,0,0,61025,30847,0,0,0,0,36,0,0,0,156,624260,183,2740,0,0,0,116,0,0,6473,0,32364,0,0,0,0,93672,0,0,0,0,0,1538,170,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,30476,176,0,0,24,0,0,1146,0,337,0,0,75910,0,0,0,0,0,0,7029,0,0,0,0,0,30971,174933,49,17,205,0,0,0,0,4977,6410,0,0,0,0,0,0,0,239934,0,882,0,98,224,0,0,0,0,344,0,0,0,0,2635,0,0,0,0,0,514,0,5688,0,0,183,0,898,0,407,171372,0,0,0,0,0,0,0,0,0,153,0,425,0,0,0,0,0,0,670954,48951,174448,92,996,0,384926,0,83,0,51,0,0,341,0,0,0,0,0,0,0,0,0,0,0,397371,0,0,25003,146759,2912,0,0,0,0,0,0,0,0,325,90118,72469
Burundi,Africa,Eastern Africa,108,172874,3319,12615,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84099,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,,,,13732,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,13209,630,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,10142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,92091,1377,4134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,
Eritrea,Africa,Eastern Africa,232,14314,603,1320,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347,,,,,,,,,,115,,,,141,,,,,,,,,,,1442,,,,,,,,,,,99,,,,,320,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,281,,,,,,,,,,,,,,551,,,,,,,,,,,,,,,,,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,2096,154,1375,,,,192,,,,,,,,,,,,,,,,,,,1345,,,49,446,,,,,,,,,,,194,243
Ethiopia,Africa,Eastern Africa,231,514242,12925,38775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,75,,2740,,,,,,,5756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,327545,,110527,,,,15491,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,107,,
Kenya,Africa,Eastern Africa,404,756894,21288,39648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,,,,,,,,,,,,,,,,,,,,,,,,,2684,,,,,,,,,696,,20917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059,,,,,,,,,,,,,,,,,,,259706,98,62546,,,,8766,,,,,,,,,,,,,,,,,,,291776,,,,42082,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,26058,3885,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609,,,,8910,,,,,,,,,,,,,,,,,,,,,,,,,,,7269,,,,,,,,,,,,,,,,,,,,,,,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
