Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,2.22E+08,2077453,7964398,5003276,1110296,1633040,1975,7120,619310,2293,60397,933164,910093,14120,487519,552251,1178793,34719,53941,6748118,92135,1478568,489639,55112,514448,15996,86206,779035,8576,1603536,44474,1526897,4519,45414,1136455,1389421,280873,151080,943305,279137,1229266,1382,238718,197249,18133,564332,8598028,946452,130200,2492579,108553,195848,20567,128869,782205,853824,1259441,68289,161305,878343,105807,1225390,238234,13658,71438,1147301,1134042,2607915,1278842,78188,281115,163390,623998,12971,1025,182266,292427,1965318,4075,1211,57948,82182,810207,3836419,694009,11650,821078,16253,61704,10195,2171,884864,402013,97257,423693,1092025,181,564110,551731,33607,13286337,3492456,1011021,2561482,776575,10295,330729,2670095,960460,750677,599034,3979923,405031,4279,173992,743174,1187508,311107,713494,225608,259595,130833,3429,493032,57589,158180,271159,1621937,2757,842729,97887,6168,14871,113398,152757,6365,11828349,19039,26488,58455,131507,16034,2779496,672976,2436388,93209,2160,1377299,903207,5783,663809,598189,309431,984555,5351,2617,182723,20784,5018550,2608,134756,4302,764256,1312888,4656379,4135816,2098897,1648962,22307,2266276,833095,2842,3356754,10430967,328146,3409,35945,50686,390,55405,104004,2264,30810,227479,557134,875960,10673,134149,281520,23346,301524,130188,3351,1595533,740536,403896,1109449,1438103,3128484,1196493,259813,63655,300795,639637,1094693,587770,770069,479614,34761,381618,2158,50995,339229,606017,2952422,238574,1732,3276,701252,5497123,121530,4555299,265412,2721712,3287,332362,1913257,7939,550420,2306669,7461,91965,880927,209456,666407
Africa,Africa,Africa,903,16840014,358625,1053239,594,509,33269,0,0,403031,0,485,2231,441,0,8070,6132,31,64,1417,11068,24,1128,10488,0,486130,49,0,129,0,502,38689,5129,19,84,3207,1363291,254972,16735,0,99001,10971,0,221189,180582,0,587,38960,1298,0,524,74115,98428,0,0,623391,889,2628,0,3976,1844,561,1042390,3561,4638,0,0,12,45174,828,55305,150070,141,126592,0,0,38,1563,225329,0,0,35940,19912,0,78722,338290,52,10859,0,0,0,0,81,319304,57706,45,0,0,0,426,26,85976,18102,1300,86529,10316,0,4356,36821,154,3956,27181,912,104220,0,14666,81,26,332,27054,224227,170294,23813,0,319,69,34686,252001,12044,106,740091,271,0,0,82451,13821,6294,292,0,343,14,0,0,15319,595684,184,87005,19,258,20106,0,2632,87,299247,346871,17,22,1684,2038,14394,0,47,47,95,165,7027,8966,56051,0,1631,3132,59,1122,2067,23805,302720,179,21,0,0,0,0,0,13330,50834,256274,3054,1265,58249,1449,0,393,49,0,1015331,97927,385700,7255,4296,438877,552453,0,60594,1904,4514,40112,724,4520,210,8,329822,0,0,21,5897,4027,256,0,0,582089,4520,3345,277074,165523,45558,68,91,440,0,270,128,0,91905,29046,146579,442484
Eastern Africa,Africa,Eastern Africa,910,4657063,98293,371707,0,0,0,0,0,38633,0,0,0,0,0,310,0,0,0,0,7581,0,0,680,0,0,0,0,0,0,0,4759,0,0,0,0,0,211844,6524,0,243,791,0,5166,5327,0,0,6370,20,0,0,69295,34248,0,0,0,0,39,0,0,0,155,679669,182,3025,0,0,0,5451,0,0,14680,0,46815,0,0,0,0,101872,0,0,0,0,0,1641,175,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,37413,126,0,0,44,0,0,1207,0,320,0,0,86278,0,0,0,0,0,0,7688,0,177,0,0,0,33824,199116,53,34,415,0,0,0,0,5575,6294,0,0,0,0,0,0,0,203811,0,1310,0,157,223,0,0,0,0,4265,0,0,0,0,2752,0,0,0,0,0,630,0,4256,0,0,182,0,857,0,447,153751,0,0,0,0,0,0,0,0,0,142,0,463,0,0,0,0,0,0,860450,40497,176704,109,1513,0,190890,0,86,0,92,0,0,214,0,0,0,0,0,0,0,0,0,0,0,574078,0,0,17937,154195,3226,0,0,0,0,0,0,0,0,358,89462,79904
Burundi,Africa,Eastern Africa,108,235259,2660,16897,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137611,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,22974,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,12618,602,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,9689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,101575,1518,4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,
Eritrea,Africa,Eastern Africa,232,15676,682,1507,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,,,,,,133,,,,189,,,,,,,,,,,1659,,,,,,,,,,,107,,,,,429,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,345,,,,,,,,,,,,,,759,,,,,,,,,,,,,,,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,,,,,,,,,,,2415,120,1465,,,,205,,,,,,,,,,,,,,,,,,,1498,,,56,517,,,,,,,,,,,237,319
Ethiopia,Africa,Eastern Africa,231,567720,14269,42807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,83,,3025,,,,,,,6354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,361609,,122021,,,,17102,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,118,,
Kenya,Africa,Eastern Africa,404,926959,20681,38516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,,,,,,,,,,,,,,,,,,,,,,,,,5531,,,,,,,,,1389,,24091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6201,,,,,,,,,,,,,,,,,,,398753,110,53218,,,,7459,,,,,,,,,,,,,,,,,,,326978,,,,39120,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,28905,4309,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,,,,9876,,,,,,,,,,,,,,,,,,,,,,,,,,,8066,,,,,,,,,,,,,,,,,,,,,,,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
