Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,1.53E+08,3410674,6644159,6721952,178506,905365,2088,3469,809632,2047,21798,430045,899295,10571,303406,505334,1634021,24994,12274,5449231,84616,1768769,360794,36080,233625,71352,28341,224178,4325,843208,25884,497223,3088,24703,615400,1018838,337184,91661,354174,115243,996566,370,46234,336901,18727,489341,4227807,493228,93949,1007042,40076,91168,15203,69488,370832,379122,835185,41843,173858,259754,38962,401707,201989,5247,42360,464999,212646,1320273,1233103,34972,169345,113870,1686181,7507,206,89367,250486,1196770,2842,2913,15188,36131,920424,3275015,373646,11585,1038338,9524,43161,5819,1360,343406,352557,55307,233234,527264,32,156429,386321,17293,6717390,1635503,629524,1501477,865640,10004,278793,3410714,588158,608574,311562,2972136,237439,3625,80563,522514,481859,214951,505729,191950,516656,74803,3448,340981,27703,58496,121005,490482,2112,647720,109526,1407,11021,134113,107960,1835,4393907,7713,4370,24119,77381,7188,1587234,2217623,585080,15792,968,747642,726603,2961,381810,441312,132711,447501,5617,2519,135915,12489,3335625,2963,134585,3015,297648,309800,2027283,1531728,2060790,1200789,12107,1625095,625795,3036,812830,12696172,550675,872,20697,21990,485,37021,69152,1425,13960,106451,369114,664492,26766,60832,155629,14368,130764,84425,1194,846606,326425,514943,1448998,884854,1810315,585849,179589,35067,201373,323025,615517,536211,308754,388831,1781,193357,1631,26503,196602,453522,2529919,259966,2311,2289,310565,5549216,78979,2684459,202850,1735161,2362,237010,1429711,4213,185282,1232466,6489,168239,455221,80898,168432
Africa,Africa,Africa,903,15690623,265413,853920,1037,504,31772,0,0,637213,0,707,1084,784,0,7318,7204,24,85,1706,3079,30,1061,10935,0,219447,61,0,158,0,236,23203,3307,23,88,3952,1012649,333426,11714,0,65598,6036,0,37225,320842,0,719,21622,1877,0,183,21133,34690,0,0,321783,603,1636,0,1047,1315,512,340970,2499,1841,0,0,9,33336,618,27679,136373,82,1449233,0,0,47,1419,143877,0,0,6625,23584,0,97661,248286,33,8268,0,0,0,0,97,338041,39300,54,0,0,0,473,16,34726,8035,1303,7546,6204,0,3626,37604,192,7165,15394,545,79445,0,9647,48,33,199,22334,191613,498523,16242,0,192,83,15895,109794,12001,60,596506,163,0,0,120940,6540,1800,153,0,249,1,0,0,14297,2138140,220,14768,23,152,23232,0,1594,106,129376,295400,21,28,1136,1715,5281,0,59,59,116,203,4536,3475,34289,0,1106,3102,48,2100,1689,46515,544152,220,26,0,0,0,0,0,8081,23326,239401,1964,429,42134,694,0,272,15,0,738138,94319,509162,6392,2660,242419,294802,0,34614,2903,12232,25911,180,3994,206,11,174628,0,0,26,4073,3817,79,0,0,238388,2570,2023,165506,143197,52058,20,111,328,0,322,156,0,167905,17828,56202,135760
Eastern Africa,Africa,Eastern Africa,910,5964031,115128,303496,0,0,0,0,0,124741,0,0,0,0,0,148,0,0,0,0,132,0,0,795,0,0,0,0,0,0,0,3494,0,0,0,0,0,310450,3144,0,10,548,0,0,0,0,0,2135,91,0,0,19278,15858,0,0,0,0,20,0,0,0,52,216199,176,904,0,0,0,235,0,0,69681,0,501552,0,0,0,0,47802,0,0,0,0,0,1247,484,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,16117,2,0,0,30,0,0,824,0,240,0,0,68910,0,0,0,0,0,0,3610,0,0,0,0,0,15325,95126,36,2,220,0,0,0,0,1379,1800,0,0,0,0,0,0,0,1744687,0,2849,0,27,215,0,0,0,0,185,0,0,0,0,1521,0,0,0,0,0,61,0,6499,0,0,61,0,957,0,418,517236,0,0,0,0,0,0,0,0,0,115,0,257,0,0,0,0,0,0,728550,48813,391000,87,325,0,181106,0,51,0,66,0,0,5,0,0,0,0,0,0,0,0,0,0,0,139632,0,0,24647,140364,1807,0,0,0,0,0,0,0,0,357,43170,47501
Burundi,Africa,Eastern Africa,108,333110,8943,50676,,,,,,,,,,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36654,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,,,,11912,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,14079,672,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,122221,1827,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,
Eritrea,Africa,Eastern Africa,232,11848,345,737,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,,,,,,,,,8,,,,27,,,,,,,,,,,407,,,,,,,,,,,1284,,,,,108,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,187,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,,,,,,,,,,,,,,,,,,,1438,97,933,,,,131,,,,,,,,,,,,,,,,,,,175,,,34,218,,,,,,,,,,,91,82
Ethiopia,Africa,Eastern Africa,231,1155390,7358,22075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,48,,904,,,,,,,69681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,616940,,384266,,,,53857,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,68,,
Kenya,Africa,Eastern Africa,404,297292,35132,65430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,0,,26695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3874,,,,,,,,,,,,,,,,,,,7875,197,5801,,,,814,,,,,,,,,,,,,,,,,,,83355,,,,66464,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,23917,3563,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,,,,8179,,,,,,,,,,,,,,,,,,,,,,,,,,,6672,,,,,,,,,,,,,,,,,,,,,,,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
