Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Malawi,Africa,Eastern Africa,454,1127724,11744,19158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,,,,,,,,,,,735,,,,,,,,,,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249,,,,,,,,,,,,,,,,,,,211,1276,,,,,,,,,,,,,,,,,,,,,,,,,,,769,3279,,,,,,,,,,,5637,3851
Mauritius,Africa,Eastern Africa,480,3613,75,292,,,,,,,,,,,,,,,,,71,,,76,,,,,,,,,,,,,,,,,,36,,,,,,346,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,,,,,,57,,,,,,,,,,,,,,,,,515,,,,30,,,38,,23,,,,,,,,,,,,,,,,56,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,34,,,,,,,,,,,,,43,,,,,,,,184,,15,9,,,,,,66,,,,,,,,,,,,,,,,,,694,,37,,,,,,,,,,,
Mayotte,Africa,Eastern Africa,175,15229,1142,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10288,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Africa,Eastern Africa,508,122332,16965,46404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3144,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143,,,,,,,,,,,,,,,,,,,3531,,,,,,,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,,,,,,,,6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,28813,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935,,,,,,,,,,,1288,8455
Réunion,Africa,Eastern Africa,638,57210,6330,6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,37516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,,,,,,,,,1008,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Africa,Eastern Africa,646,159869,954,19265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26238,,,,,,,,,,,,,,,,,,,,,,,,,62526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34106,,,,15825,,,,,,,,,,,,
Seychelles,Africa,Eastern Africa,690,3721,281,493,,,,,,,,,,,,67,,,,,11,,,32,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,180,,,,,,40,,,,,,,,,,,,,,,,,1276,2,,,,,,22,,,,,25,,,,,,,,,,,,,34,,,2,,,,,,258,,,,,,,,,,,,,27,,,,,,25,,,,,23,,,,,,61,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,11,83,,11,316,,,,,,,,,5,,,,,,,,,,,,5,,,274,,,,,,,,,,,,,
Somalia,Africa,Eastern Africa,706,478294,6098,12196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,Africa,Eastern Africa,728,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Uganda,Africa,Eastern Africa,800,558307,359,21368,,,,,,,,,,,,,,,,,50,,,45,,,,,,,,,,,,,,50561,,,,101,,,,,,142,,,,,,,,,,,,,,52,67995,176,,,,,,,,0,,168,,,,,250,,,,,,234,,,41,,,,,,,,,,,,,,1359,,,,,,,404,,71,,,33424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,215,,,,,,,,,,224,,,,,,,,,,,61,,,,305,219499,,,,,,,,,,,,,,,,,,,392,,,61,,,126304,,,,,,,,,,,,,,,,,,,,,,1071,32638,503,,,,,,,,,,,
United Republic of Tanzania,Africa,Eastern Africa,834,574025,1577,2845,,,,,,717,,,,,,,,,,,,,,,,,,,,,,80,,,,,,232210,,,,184,,,,,,,,,,343,15007,,,,,,,,,,19354,,,,,,,,,,,,,,,,,,,,,,605,,,,,,,,,,,,,,,,,4968,,,,,,,360,,,,,33613,,,,,,,79,,,,,,,7218,,,,,,,,113,,,,,,,,,144353,,370,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,68609,,,,,,,,,,,,214,,,,,,,467,409,,,,,,,51,,,,,,,,,,,,,,,,,19706,,,682,,808,,,,,,,,,,18188,488
Zambia,Africa,Eastern Africa,894,279029,2905,6228,,,,,,123777,,,,,,81,,,,,,,,,,,,,,,,469,,,,,,0,,,10,227,,,,,,100,,,,,116,,,,,,,,,,27297,,,,,,235,,,,,,,,,,65,,,,,,311,484,,,,,,,,,,,,,,,,4284,,,,,,,,,146,,,433,,,,,,,,,,,,,,17073,,,220,,,,,,,,,,,,,,41255,,2360,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,115,,,,,,,,,,6328,,,,,,,,,,,,,,,,,,,,,,,,349,,,1987,6930,459,,,,,,,,,,,34625
Zimbabwe,Africa,Eastern Africa,716,626821,8858,19017,,,,,,,,,,,,,,,,,,,,,,,,,,,,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68618,,,,,,,,,,,,,,,,,478855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11426,,,,,,,,,,,,,,,,,,,,,,,,,,,19136,,,,,,,,,,,,17966,
Middle Africa,Africa,Middle Africa,911,1460530,46890,130185,0,0,34,0,0,479606,0,0,0,0,0,9,20,0,0,0,0,0,0,154,0,20472,0,0,0,0,0,0,0,0,0,0,2158,20255,7819,0,50294,109,0,18683,110184,0,0,390,0,0,0,0,9809,0,0,1053,0,164,0,5,0,50,95515,1,0,0,0,0,67,0,27629,0,0,0,0,0,0,0,37920,0,0,1338,0,0,205,1965,0,0,0,0,0,0,0,1668,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,0,10,0,0,0,0,0,0,0,0,1130,0,0,1096,0,0,0,0,0,0,0,22057,0,0,0,965,0,0,0,0,0,0,0,0,221,340,0,345,0,0,19,0,0,0,2614,127434,0,0,0,0,0,0,0,0,0,0,0,0,5946,0,0,60,0,0,0,953,23083,0,0,0,0,0,0,0,5587,0,12884,0,0,0,0,0,0,15,0,0,2522,113409,324,0,0,47518,0,0,10,150,9,0,0,0,0,7857,0,0,0,69,6,0,0,0,18418,0,0,0,0,696,0,0,0,0,0,0,0,0,0,119,0
Angola,Africa,Middle Africa,024,33517,2805,2953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3569,,,,,,12,,,,,,,,410,,,5,,,,,,,12178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,345,,,,,,,,,,,,,,,,,,,,,5298,,,,,,,,46,,,,,,,,3112,,,,,,,,,,,,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,
Cameroon,Africa,Middle Africa,120,265344,6889,45980,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Africa,Middle Africa,140,67234,2482,7445,,,,,,,,,,,,9,20,,,,,,,,,,,,,,,,0,,,,,,,,,19,,,10010,,,,,,,,,,,,,,,5,,,13173,1,,,,,67,,,,,,,,,,10537,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,88,,,,,,,,,15,,,81,0,,,,22094,,,10,150,,,,,,5,,,,,6,,,,,,,,,476,,,,,,,,,,,
Chad,Africa,Middle Africa,148,74342,245,4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30992,,,8067,,,,,,,,,715,,,,,,,,,,98,,,,,,,,,,,,,,,,886,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,14822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,Middle Africa,178,129597,3245,4873,,,,,,10334,,,,,,,,,,,,,,,,4357,,,,,,,,,,,,,,,3464,,,10616,3239,,,283,,,,,,,,,,164,,,,,67316,,,,,,,,485,,,,,,,,8574,,,970,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,,,,,,,,,,,4678,,,,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,790,0,,,,,,,,,,3468,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,51,,,,,,,,,,,
Democratic Republic of the Congo,Africa,Middle Africa,180,754194,30396,60792,,,,,,468462,,,,,,,,,,,,,,,,,,,,,,,,,,,,20203,,,,,,,,,,,,,,,3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22972,,,,,,,,,,,,,,,,,,,,,113409,,,,15895,,,,,,,,,,,,,,,,,,,18418,,,,,,,,,,,,,,,,
Equatorial Guinea,Africa,Middle Africa,226,2740,161,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Africa,Middle Africa,266,127980,642,2717,,,34,,,342,,,,,,,,,,,,,,154,,16115,,,,,,,,,,,2158,52,,,15636,90,,,1396,,,107,,,,,5037,,,1048,,,,,,50,2750,,,,,,,,26839,,,,,,,,4961,,,,,,27,1965,,,,,,,,1537,,,,,,,,,,,,,,5,,,10,,,,,,,,,772,,,,,,,,,,,17028,,,,,,,,,,,,,221,,,,,,,,,,,7381,,,,,,,,,,,,,,,,60,,,,,65,,,,,,,,2009,,9416,,,,,,,,,,4,,,,,,,,,,9,,,,,7105,,,,69,,,,,,,,,,169,,,,,,,,,,,
Sao Tome and Principe,Africa,Middle Africa,678,5582,25,74,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
