Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,1.61E+08,3413984,6442851,3616768,498173,963470,2655,4024,668380,2567,34611,477924,900020,10622,342288,488772,1712735,28630,28977,5417386,87988,1749329,370038,40794,272868,41938,117839,281106,4888,1347371,22891,743292,4239,33399,649928,1213647,543901,107054,406572,135857,1042148,802,49084,266959,15628,493481,4901412,545246,95949,1199625,51284,111098,13460,83242,452389,650845,908045,48647,163112,314962,54622,528702,207696,6874,44572,657307,317003,1488642,901665,41617,323232,129364,816184,9994,679,106042,288348,1324864,3224,3431,16462,38126,953815,3263505,427516,9688,1012687,11406,53217,6876,2033,445417,365354,67054,290051,652648,39,240135,400912,20831,7209476,1949339,740016,1310112,804432,8266,286289,3250928,704184,646677,334819,3309180,260161,3795,94643,552214,536995,229003,529525,137797,547790,75679,3059,344304,29641,66389,138566,781250,1579,789113,110002,4040,12582,151355,111549,3937,6722383,11986,4700,27413,142507,11475,1735519,808535,811128,27808,1027,854757,735286,3354,418841,431059,165706,516189,5208,2652,147132,13776,3329863,3371,130019,4122,335317,496338,2467638,1787515,2097189,1360910,13178,1777594,619338,2572,973490,11657301,2065506,2369,25650,30352,479,45148,71796,2467,18969,129412,356333,871481,16411,456453,167237,16757,187324,100481,1313,896727,401489,438044,1368440,925441,2271359,742857,193310,30169,218774,335918,653399,525487,409926,444148,74933,306372,1629,30524,244836,467092,2674763,243487,1536,2660,467798,5613777,96932,2602539,229999,1836539,3153,233111,1545331,4809,239579,1528171,6959,167149,485482,137375,241881
Africa,Africa,Africa,903,16352814,271111,810829,737,425,31802,0,0,474948,0,675,1087,578,0,5624,5253,23,81,1387,2554,18,934,8121,0,257315,38,0,98,0,277,20038,3221,14,69,2494,1203875,537629,12966,0,71375,6254,0,39494,251443,0,470,24298,1120,0,211,31691,49047,0,0,390523,487,1755,0,1389,1077,437,448034,2233,3011,0,0,9,37365,636,32981,274448,72,566182,0,0,29,1227,152012,0,0,7186,19796,0,71869,254718,28,6955,0,0,0,0,63,345702,43011,34,0,0,0,403,13,42241,10794,995,36805,5101,0,2790,29482,119,4781,18019,635,79384,0,10377,45,20,163,22596,137289,514177,16711,0,157,80,20963,126476,10370,47,735081,133,0,0,136993,6941,3893,148,0,255,6,0,0,15191,727897,140,26097,14,110,15955,0,1341,66,161876,285666,13,17,986,1657,6919,0,36,36,72,128,4796,3922,33451,0,1199,2334,45,1509,1405,30787,2055929,137,16,0,0,0,0,0,9755,30625,214654,1550,619,422929,778,0,220,42,0,708529,93705,430928,5770,2190,267526,419086,0,29199,2546,7514,28032,381,3820,161,14,280712,0,0,16,4345,3307,142,0,0,389990,2489,2319,148777,165499,40815,30,69,337,0,209,97,0,166903,19942,108217,190903
Eastern Africa,Africa,Eastern Africa,910,5022742,115384,333595,0,0,0,0,0,142392,0,0,0,0,0,140,0,0,0,0,213,0,0,726,0,0,0,0,0,0,0,3260,0,0,0,0,0,407190,4567,0,13,548,0,0,0,0,0,4985,45,0,0,28866,24023,0,0,0,0,26,0,0,0,51,270770,172,1901,0,0,0,139,0,0,35015,0,59360,0,0,0,0,61611,0,0,0,0,0,1336,283,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,20057,114,0,0,14,0,0,938,0,220,0,0,67057,0,0,0,0,0,0,5288,0,0,0,0,0,20501,107673,33,1,206,0,0,0,0,2715,3893,0,0,0,0,0,0,0,391716,0,1079,0,33,211,0,0,0,0,180,0,0,0,0,1879,0,0,0,0,0,229,0,7215,0,0,59,0,948,0,372,914202,0,0,0,0,0,0,0,0,0,138,0,325,0,0,0,0,0,0,652945,57945,290617,76,410,0,313793,0,69,0,30,0,0,237,0,0,0,0,0,0,0,0,0,0,0,308223,0,0,23834,160956,2011,0,0,0,0,0,0,0,0,325,87614,79710
Burundi,Africa,Eastern Africa,108,254853,7340,33396,,,,,,,,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41447,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,,,,9780,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,13939,665,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,10701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,99774,1492,4478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,
Eritrea,Africa,Eastern Africa,232,12400,435,935,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,53,,,,60,,,,,,,,,,,816,,,,,,,,,,,687,,,,,159,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,202,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,,,,,,,,,1607,143,1109,,,,155,,,,,,,,,,,,,,,,,,,682,,,38,296,,,,,,,,,,,121,125
Ethiopia,Africa,Eastern Africa,231,806904,10378,31136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,63,,1901,,,,,,,34949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,459615,,235512,,,,33008,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,89,,
Kenya,Africa,Eastern Africa,404,618745,37372,69611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,,,,66,,29521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,,,,,,,,,,,,,,,,,,,103743,185,53996,,,,7568,,,,,,,,,,,,,,,,,,,237964,,,,73119,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,21177,3155,2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312,,,,7242,,,,,,,,,,,,,,,,,,,,,,,,,,,5908,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
