Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Malawi,Africa,Eastern Africa,454,241624,13149,39468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896,,,,,,,,,,,,,,,1567,,,,,,,,,,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138,,,,,,,,,,,,,,,,,,,61,9179,,,,,,,,,,,,,,,,,,,,,,,,,,,1639,10676,,,,,,,,,,,47571,41271
Mauritius,Africa,Eastern Africa,480,7493,146,411,,,,,,,,,,,,,,,,,150,,,35,,,,,,,,,,,,,,,,,,27,,,,,,3273,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,70,,,,,,,,,,,,,,,,,1483,,,,14,,,56,,14,,,,,,,,,,,,,,,,242,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,28,,,,,,,,,,,,,39,,,,,,,,192,,7,19,,,,,,30,,,,,,,,,,,,,,,,,,450,,30,,,,,,,,,,,
Mayotte,Africa,Eastern Africa,175,26316,607,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20154,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Africa,Eastern Africa,508,168256,19939,57228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4567,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,,,,,,,,,,,,,,,,,,,5182,,,,,,,19997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,,7215,,,,,,,,,,,,,,,,,,,,,,,,,,,,29502,,,,,,,,,,,,,,,,,,,,,,,,,,,,4571,,,,,,,,,,,2606,13955
Réunion,Africa,Eastern Africa,638,77159,5198,6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,,,,,,,50738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7218,,,,,,,,,2181,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Africa,Eastern Africa,646,233200,1454,21004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39410,,,,,,,,,,,,,,,,,,,,,,,,,93770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51986,,,,24121,,,,,,,,,,,,
Seychelles,Africa,Eastern Africa,690,5148,238,396,,,,,,,,,,,,59,,,,,14,,,26,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,167,,,,,,48,,,,,,,,,,,,,,,,,1651,114,,,,,,29,,,,,178,,,,,,,,,,,,,279,,,1,,,,,,383,,,,,,,,,,,,,33,,,,,,32,,,,,17,,,,,,229,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,13,224,,10,391,,,,,,,,,237,,,,,,,,,,,,5,,,223,,,,,,,,,,,,,
Somalia,Africa,Eastern Africa,706,19527,495,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,18044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,Africa,Eastern Africa,728,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Uganda,Africa,Eastern Africa,800,634620,428,20980,,,,,,,,,,,,,,,,,49,,,44,,,,,,,,,,,,,,49666,,,,99,,,,,,139,,,,,,,,,,,,,,51,77724,172,,,,,,,,0,,165,,,,,245,,,,,,229,,,40,,,,,,,,,,,,,,1334,,,,,,,396,,69,,,32852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,211,,,,,,,,,,220,,,,,,,,,,,59,,,,299,141160,,,,,,,,,,,,,,,,,,,1034,,,59,,,273062,,,,,,,,,,,,,,,,,,,,,,1052,32059,494,,,,,,,,,,,
United Republic of Tanzania,Africa,Eastern Africa,834,1106043,2178,3574,,,,,,958,,,,,,,,,,,,,,,,,,,,,,108,,,,,,310644,,,,234,,,,,,,,,,458,22000,,,,,,,,,,21834,,,,,,,,,,,,,,,,,,,,,,769,,,,,,,,,,,,,,,,,6308,,,,,,,457,,,,,31740,,,,,,,106,,,,,,,7121,,,,,,,,151,,,,,,,,,57995,,494,,,,,,,,,,,,,517,,,,,,,,,,,,,,,,600656,,,,,,,,,,,,286,,,,,,,4247,547,,,,,,,69,,,,,,,,,,,,,,,,,15546,,,866,,1027,,,,,,,,,,14501,652
Zambia,Africa,Eastern Africa,894,244338,2599,9287,,,,,,141001,,,,,,81,,,,,,,,,,,,,,,,228,,,,,,261,,,13,188,,,,,,128,,,,,456,,,,,,,,,,31525,,,,,,139,,,,,,,,,,59,,,,,,220,283,,,,,,,,,,,,,,,,3854,,,,,,,,,137,,,328,,,,,,,,,,,,,,12382,,,206,,,,,,,,,,,,,,3127,,473,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,2285,,,,,,,,,,138,,,,,,,,,,2660,,,,,,,,,,,,,,,,,,,,,,,,359,,,1434,6172,460,,,,,,,,,,,23707
Zimbabwe,Africa,Eastern Africa,716,431226,8116,29659,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67945,,,,,,,,,,,,,,,,,266322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15313,,,,,,,,,,,,,,,,,,,,,,,,,,,18132,,,,,,,,,,,,22815,
Middle Africa,Africa,Middle Africa,911,2646108,52989,144264,0,0,41,0,0,295636,0,0,0,0,0,13,27,0,0,0,0,0,0,184,0,24511,0,0,0,0,0,0,0,0,0,0,2580,128520,7490,0,56634,265,0,20609,107469,0,0,455,0,0,0,0,13187,0,0,1258,0,190,0,8,0,60,149674,2,0,0,0,0,65,0,32925,0,0,0,0,0,0,0,38539,0,0,1746,0,0,238,2348,0,0,0,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,0,0,9,0,6,56,0,12,0,0,0,0,0,0,0,0,1337,0,0,1191,0,0,0,0,0,0,0,30267,0,0,0,1115,0,0,0,0,0,0,0,0,264,341,0,401,0,0,36,0,0,0,2840,122866,0,0,0,0,0,0,0,0,0,0,0,0,6879,0,0,72,0,0,0,1106,1138487,0,0,0,0,0,0,0,6623,0,15691,0,0,0,0,0,0,42,0,0,2921,137306,429,0,0,61357,0,0,15,193,11,0,0,0,0,9365,0,0,0,83,8,0,0,0,19780,0,0,0,0,944,0,0,0,0,0,0,0,0,0,139,0
Angola,Africa,Middle Africa,24,39813,3260,3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,,,,,,14,,,,,,,,477,,,6,,,,,,,14957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,401,,,,,,,,,,,,,,,,,,,,,6156,,,,,,,,115,,,,,,,,3617,,,,,,,,,,,,2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,
Cameroon,Africa,Middle Africa,120,246864,6409,42777,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Africa,Middle Africa,140,99712,5951,17851,,,,,,,,,,,,13,27,,,,,,,,,,,,,,,,0,,,,,,,,,157,,,13169,,,,,,,,,,,,,,,8,,,20510,2,,,,,65,,,,,,,,,,13090,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,56,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,104,,,,,,,,,42,,,84,0,,,,27015,,,15,193,,,,,,9,,,,,8,,,,,,,,,683,,,,,,,,,,,
Chad,Africa,Middle Africa,148,89584,266,5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33673,,,8765,,,,,,,,,777,,,,,,,,,,200,,,,,,,,,,,,,,,,963,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,16104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,Middle Africa,178,191635,2420,3634,,,,,,18270,,,,,,,,,,,,,,,,5250,,,,,,,,,,,,,,,4003,,,11844,3743,,,327,,,,,,,,,,190,,,,,110720,,,,,,,,560,,,,,,,,6041,,,1121,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,9493,,,,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,913,5503,,,,,,,,,,4436,,,,,,,,,,,,,,,,,,,,,,,,,863,,,,,,,,,,,,,,59,,,,,,,,,,,
Democratic Republic of the Congo,Africa,Middle Africa,180,1816963,33681,67362,,,,,,276402,,,,,,,,,,,,,,,,,,,,,,,,,,,,128458,,,,,,,,,,,,,,,5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132791,,,,,,,,,,,,,,,,,,,,,137306,,,,15271,,,,,,,,,,,,,,,,,,,19780,,,,,,,,,,,,,,,,
Equatorial Guinea,Africa,Middle Africa,226,3629,213,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Africa,Middle Africa,266,152972,767,3247,,,41,,,408,,,,,,,,,,,,,,184,,19261,,,,,,,,,,,2580,62,,,18690,108,,,1669,,,128,,,,,6021,,,1252,,,,,,60,3287,,,,,,,,32079,,,,,,,,5930,,,,,,33,2348,,,,,,,,1837,,,,,,,,,,,,,,6,,,12,,,,,,,,,923,,,,,,,,,,,20352,,,,,,,,,,,,,264,,,,,,,,,,,8823,,,,,,,,,,,,,,,,72,,,,,78,,,,,,,,2401,,11255,,,,,,,,,,5,,,,,,,,,,11,,,,,8493,,,,83,,,,,,,,,,202,,,,,,,,,,,
Sao Tome and Principe,Africa,Middle Africa,678,4936,22,68,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
